x,y,layer1_gray,layer2_gray,bilayer_gray
185,222,11.399999618530273,172.9199981689453,178.16000366210938
953,792,168.0800018310547,3.0,165.47999572753906
108,452,99.55999755859375,5.239999771118164,101.23999786376953
53,404,201.72000122070312,6.360000133514404,201.24000549316406
750,449,118.72000122070312,3.2799999713897705,117.95999908447266
954,959,136.8000030517578,5.28000020980835,137.39999389648438
1019,733,93.23999786376953,26.760000228881836,116.19999694824219
156,389,87.19999694824219,5.400000095367432,89.4000015258789
1021,309,64.55999755859375,13.920000076293945,75.95999908447266
66,139,9.359999656677246,104.68000030517578,110.23999786376953
399,221,41.79999923706055,32.959999084472656,72.36000061035156
878,75,63.599998474121094,4.760000228881836,66.04000091552734
370,994,12.15999984741211,43.91999816894531,54.400001525878906
392,224,20.8799991607666,58.47999954223633,76.72000122070312
861,970,172.47999572753906,4.0,170.52000427246094
862,548,4.039999961853027,231.27999877929688,227.67999267578125
107,473,210.32000732421875,10.920000076293945,213.9600067138672
415,216,127.68000030517578,7.239999771118164,130.39999389648438
896,836,4.519999980926514,57.040000915527344,59.47999954223633
839,55,15.0,145.55999755859375,155.36000061035156
715,826,5.480000019073486,154.9199981689453,155.0
255,645,14.279999732971191,87.63999938964844,98.4800033569336
736,813,30.200000762939453,35.040000915527344,63.040000915527344
596,307,43.119998931884766,83.4000015258789,122.31999969482422
886,497,6.960000038146973,66.72000122070312,71.12000274658203
232,218,174.1999969482422,5.159999847412109,173.44000244140625
691,906,15.640000343322754,41.31999969482422,55.040000915527344
221,730,20.360000610351562,59.79999923706055,77.5199966430664
25,43,9.720000267028809,73.80000305175781,80.87999725341797
748,449,111.36000061035156,3.680000066757202,111.12000274658203
391,627,199.60000610351562,6.920000076293945,199.72000122070312
468,637,182.1999969482422,5.880000114440918,181.83999633789062
511,473,21.079999923706055,140.67999267578125,156.55999755859375
247,819,3.9200000762939453,221.63999938964844,217.8800048828125
846,310,101.19999694824219,5.079999923706055,102.68000030517578
53,310,8.319999694824219,202.1199951171875,203.52000427246094
791,217,133.47999572753906,7.559999942779541,136.36000061035156
1014,713,35.279998779296875,30.079999923706055,63.15999984741211
1005,81,64.0,5.039999961853027,66.76000213623047
876,554,12.359999656677246,101.83999633789062,110.44000244140625
572,987,60.36000061035156,12.199999809265137,70.36000061035156
516,498,5.039999961853027,79.27999877929688,81.4000015258789
2,969,101.55999755859375,10.520000457763672,108.44000244140625
355,906,163.75999450683594,10.520000457763672,168.39999389648438
89,619,122.95999908447266,4.039999961853027,122.72000122070312
789,67,68.27999877929688,13.880000114440918,79.5999984741211
524,378,71.16000366210938,5.0,73.27999877929688
512,64,229.1999969482422,4.159999847412109,225.75999450683594
410,317,19.479999542236328,112.5999984741211,127.76000213623047
1015,813,8.4399995803833,138.0,141.83999633789062
712,379,80.0,4.920000076293945,81.76000213623047
771,54,8.399999618530273,151.39999389648438,154.47999572753906
494,542,5.039999961853027,114.55999755859375,115.5999984741211
642,311,45.880001068115234,18.360000610351562,62.119998931884766
497,222,16.0,81.95999908447266,94.63999938964844
307,485,45.599998474121094,36.20000076293945,79.23999786376953
424,82,64.44000244140625,4.039999961853027,66.23999786376953
625,409,159.1999969482422,5.599999904632568,159.52000427246094
359,806,42.79999923706055,29.200000762939453,69.68000030517578
558,207,7.639999866485596,186.32000732421875,187.47999572753906
244,211,62.400001525878906,5.0,65.08000183105469
153,910,172.75999450683594,5.679999828338623,172.67999267578125
577,898,10.15999984741211,89.5999984741211,96.44000244140625
284,609,52.7599983215332,3.0,54.0
945,62,4.599999904632568,114.4000015258789,115.0
770,313,94.31999969482422,19.639999389648438,110.27999877929688
365,199,6.039999961853027,79.5999984741211,82.80000305175781
183,809,109.08000183105469,8.880000114440918,114.04000091552734
757,648,81.91999816894531,11.720000267028809,90.55999755859375
666,898,4.71999979019165,106.87999725341797,107.91999816894531
101,610,55.20000076293945,3.0,56.31999969482422
151,51,84.68000030517578,5.199999809265137,87.04000091552734
570,287,125.91999816894531,5.039999961853027,126.63999938964844
673,467,243.1199951171875,9.720000267028809,244.60000610351562
370,981,29.31999969482422,42.36000061035156,69.36000061035156
917,212,36.84000015258789,41.36000061035156,75.80000305175781
490,469,189.0800018310547,16.0,198.32000732421875
409,736,20.639999389648438,40.720001220703125,59.52000045776367
274,968,107.4000015258789,10.920000076293945,114.44000244140625
243,547,80.0,4.920000076293945,81.80000305175781
768,620,111.83999633789062,5.239999771118164,113.23999786376953
12,725,4.039999961853027,211.72000122070312,208.75999450683594
147,582,86.76000213623047,4.559999942779541,88.4000015258789
947,389,4.0,194.0,191.55999755859375
934,197,4.880000114440918,80.68000030517578,82.72000122070312
597,654,25.399999618530273,63.040000915527344,85.5999984741211
42,729,56.0,24.040000915527344,77.44000244140625
858,365,4.960000038146973,73.16000366210938,75.44000244140625
863,198,3.319999933242798,60.68000030517578,61.880001068115234
182,965,38.20000076293945,15.199999809265137,51.47999954223633
252,894,133.55999755859375,4.400000095367432,133.55999755859375
75,40,15.319999694824219,86.44000244140625,98.4800033569336
